sample_id	bird_group_ID	rawcount
l_ctl_cmp_22_4	G1_7	8000
l_ctl_cmp_22_5	G1_8	72000
l_ctl_cmp_22_1	G1_9	2666666.667
l_ctl_cmp_22_6	G1_10	9333
l_ctl_cmp_22_2	G1_11	2493333.333
l_ctl_cmp_22_7	G1_12	2733333.333
l_ctl_cmp_22_3	G1_13	1326666.667
l_ctl_cmp_28_4	G1_17	137333
l_ctl_cmp_28_1	G1_18	7000000
l_ctl_cmp_28_5	G1_19	11800000
l_ctl_cmp_28_6	G1_20	866667
l_ctl_cmp_28_2	G1_21	42666666.67
l_ctl_cmp_28_3	G1_22	2E+08
l_ctl_cmp_28_7	G1_23	9333333.333
l_ctl_cmp_35_4	G1_27	3466666.667
l_ctl_cmp_35_1	G1_28	6466666.667
l_ctl_cmp_35_5	G1_29	2093333.333
l_ctl_cmp_35_6	G1_30	40000
l_ctl_cmp_35_2	G1_31	3666666.667
l_ctl_cmp_35_3	G1_32	5400000
l_ctl_cmp_35_7	G1_33	154000
l_gos_cmp_22_4	G4_7	46000
l_gos_cmp_22_1	G4_8	726667
l_gos_cmp_22_3	G4_9	0
l_gos_cmp_22_5	G4_10	42000
l_gos_cmp_22_6	G4_11	4667
l_gos_cmp_22_2	G4_12	940000
l_gos_cmp_22_7	G4_13	18933333.33
l_gos_cmp_28_4	G4_17	1106666667
l_gos_cmp_28_1	G4_18	19533333.33
l_gos_cmp_28_5	G4_19	8133333.333
l_gos_cmp_28_2	G4_20	400000
l_gos_cmp_28_3	G4_21	500000
l_gos_cmp_28_6	G4_22	13733333.33
l_gos_cmp_28_7	G4_23	653333333.3
l_gos_cmp_35_4	G4_27	131333333.3
l_gos_cmp_35_1	G4_28	293333
l_gos_cmp_35_2	G4_29	24200000
l_gos_cmp_35_5	G4_30	11533333.33
l_gos_cmp_35_6	G4_31	8066666.667
l_gos_cmp_35_7	G4_32	7066666.667
l_gos_cmp_35_3	G4_33	593333
e_ctl_cmp_35_1	G22_1	553333
e_ctl_cmp_15_1	G22_1	32600000
e_ctl_cmp_08_1	G22_1	0
e_ctl_cmp_08_2	G22_2	0
e_ctl_cmp_28_1	G22_1	32000000
e_ctl_cmp_22_1	G22_1	620000
e_ctl_cmp_22_2	G22_2	440000
e_ctl_cmp_22_3	G22_3	266667
e_ctl_cmp_22_4	G22_4	2413333.333
e_ctl_cmp_15_2	G22_2	460000
e_ctl_cmp_22_5	G22_5	32000000
e_ctl_cmp_15_3	G22_3	190000
e_ctl_cmp_08_3	G22_3	0
e_ctl_cmp_22_6	G22_6	44666666.67
e_ctl_cmp_08_4	G22_4	0
e_ctl_cmp_15_4	G22_4	13333333.33
e_ctl_cmp_35_2	G22_2	2800000
e_ctl_cmp_22_7	G22_7	3133333.333
e_ctl_cmp_08_5	G22_5	0
e_ctl_cmp_28_2	G22_2	12266666.67
e_ctl_cmp_15_5	G22_5	453333.3333
e_ctl_cmp_08_6	G22_6	28000
e_ctl_cmp_15_6	G22_6	20533333.33
e_ctl_cmp_35_3	G22_3	280000
e_ctl_cmp_28_3	G22_3	56000
e_ctl_cmp_28_4	G22_4	1006666.667
e_ctl_cmp_35_4	G22_4	280000
e_ctl_cmp_15_7	G22_7	3600000
e_ctl_cmp_08_7	G22_7	3333
e_ctl_cmp_35_5	G22_5	2533333.333
e_gos_cmp_15_1	G24_1	4266666.667
e_ctl_cmp_35_6	G22_6	54666666.67
e_gos_cmp_22_1	G24_1	1386666.667
e_ctl_cmp_35_7	G22_7	653333
e_gos_cmp_15_2	G24_2	980000
e_gos_cmp_35_1	G24_1	19333
e_gos_cmp_35_2	G24_2	114667
e_gos_cmp_22_2	G24_2	3133333.333
e_gos_cmp_15_3	G24_3	233333
e_ctl_cmp_28_5	G22_5	4533333.333
e_gos_cmp_35_3	G24_3	50666666.67
e_ctl_cmp_28_6	G22_6	192667
e_gos_cmp_35_8	G24_8	NA
e_gos_cmp_35_4	G24_4	25333.33333
e_gos_cmp_35_5	G24_5	22666666.67
e_gos_cmp_15_4	G24_4	54000
e_gos_cmp_22_3	G24_3	20667
e_ctl_cmp_28_7	G22_7	179333
e_gos_cmp_28_1	G24_1	75333333.33
e_gos_cmp_28_2	G24_2	52000
e_gos_cmp_28_3	G24_3	80666666.67
e_gos_cmp_15_5	G24_5	400000
e_gos_cmp_28_4	G24_4	52667
e_gos_cmp_22_4	G24_4	1006666.667
e_gos_cmp_15_6	G24_6	12400000
e_gos_cmp_22_5	G24_5	5866666.667
e_gos_cmp_28_5	G24_5	148000
e_gos_cmp_35_6	G24_6	33333333.33
e_gos_cmp_28_6	G24_6	4000000000
e_gos_cmp_22_7	G24_7	7800000
e_gos_cmp_28_7	G24_7	3E+08
e_gos_cmp_22_6	G24_6	34000
e_gos_cmp_08_1	G24_1	667
e_gos_cmp_08_2	G24_2	0
e_gos_cmp_08_3	G24_3	2667
e_gos_cmp_08_4	G24_4	3333
e_gos_cmp_15_7	G24_7	920000
e_gos_cmp_08_5	G24_5	667
e_gos_cmp_35_7	G24_7	846667
e_gos_cmp_08_6	G24_6	226667
e_gos_cmp_08_7	G24_7	0
