sample_id	iIFNy_dct	cIFNy_dct	iIL1B_dct	cIL1B_dct	iIL10_dct	cIL10_dct	iIL6_dct	cIL6_dct	iCXCLi1_dct	cCXCLi1_dct	iIL17A_dct	cIL17A_dct	iIL17F_dct	cIL17F_dct	cCXCLi2_dct	iCXCLi2_dct
e_gos_cmp_08_2	0.003132736	0.002967238	0.000534907	0.00034773	0.000609586	0.000144104	0.000159208	0.000212041	0.010453995	0.038883664	0.931036737	0.473881525	0.00631908	0.004634758	0.038615802	0.003921596
e_gos_cmp_08_1	0.005991295	0.102151718	0.000464093	0.06338155	0.000767926	0.000295369	0.001906435	0.000349229	0.000395018	0.027721447	3.546840711	1.104122427	0.00905585	0.008266422	0.035840181	0.000776969
e_gos_cmp_08_3	0.002590237	0.000239708	0.000548662	7.57E-05	0.00055579	0.000248853	0.000249311	1.65E-05	0.006856362	0.045266596	1.185191693	0.122508994	0.004658181	0.001093532	0.03352208	0.007950113
e_gos_cmp_08_4	0.003536618	0.00053329	0.002702495	0.000236083	0.000549367	0.000114475	0.000318745	0.000292365	0.00132957	0.02654175	1.325062794	0.721702036	0.003267196	0.00271846	0.019347545	0.00116194
e_gos_cmp_08_7	0.000847794	0.000176889	0.000165112	0.000110086	0.00021222	0.000162125	0.000320623	1.75E-05	0.000378625	0.009360646	0.88227881	0.548085347	0.004869626	0.001596557	0.009053199	0.001133232
e_gos_cmp_08_6	0.003453576	0.003063986	0.000192568	0.001081015	0.000967034	0.000844947	0.000867289	0.000195882	0.005595308	0.039397554	1.093587001	2.693415753	0.007219252	0.014794339	0.143615512	0.001750127
e_gos_cmp_08_5	0.000483331	0.001391099	0.000175334	0.001899026	0.000135568	0.000680854	0.000371551	0.000662063	0.00115955	0.041305887	1.214329786	0.767505652	0.004932671	0.004639317	0.074092306	0.000566563
e_ctl_cmp_08_3	0.011685824	0.00206943	0.000250373	0.00179803	0.00463663	0.005649715	0.001398954	0.000122531	0.003152432	0.04828052	0.00311603	19.42173256	0.005961787	0.01705218	0.083987393	0.001672612
e_ctl_cmp_08_1	0.001893869	0.003392387	0.000101146	0.003487112	0.000475289	0.00225403	0.000645895	4.28E-05	0.006911263	0.063103935	0.004935318	0.009381927	0.005677446	0.030120719	0.102833122	0.000427874
e_ctl_cmp_08_7	0.001306037	0.013633509	0.0005443	0.004366735	0.000253629	0.004312255	0.000480781	0.008619344	0.002164709	0.482520419	0.002403027	3.716127497	0.367944869	0.015533212	0.227670536	0.001317747
e_ctl_cmp_08_5	0.008943596	0.016205703	0.000179673	0.001592508	0.001596967	0.002705098	0.000290167	0.000651429	0.003333596	0.758811827	0.015994564	0.121463942	0.014980939	0.017995749	0.183337028	0.043935318
e_ctl_cmp_08_6	0.000897919	0.004180895	0.000101986	0.00167116	0.000869854	0.015192221	0.000331936	0.000197732	0.001089365	0.11317282	0.000311985	0.015855201	0.000495519	0.005134715	0.045691514	0.000979613
e_ctl_cmp_08_4	0.004422899	0.00721537	0.000875101	0.017561945	0.01031729	0.238579305	0.002447733	0.000434742	0.001859141	0.128992781	0.000443442	0.037778258	0.000493595	1.26E-07	0.018185571	0.002116782
e_ctl_cmp_08_2	0.000963107	0.144642912	0.000336492	0.008185011	0.000797474	0.011564303	0.000233017	0.001013175	0.003402472	0.256889345	0.000398063	0.000350499	0.000295411	0.001313835	0.112129931	0.00404232
