sample_id	rpt	bird_group_ID	villus_length	crypt_depth	villus_width	total_infiltration_villus	heterophil_inf_villus
l_ctl_cmp_22_6	1	G1_10	537.776642	81.921145	NA	NA	NA
l_ctl_cmp_22_6	2	G1_10	456.523803	67.54062	NA	NA	NA
l_ctl_cmp_22_6	3	G1_10	566.478727	79.450629	NA	NA	NA
l_ctl_cmp_22_2	1	G1_11	671.21494	75.588061	NA	NA	NA
l_ctl_cmp_22_2	2	G1_11	658.350354	99.945489	NA	NA	NA
l_ctl_cmp_22_2	3	G1_11	695.711363	68.571408	NA	NA	NA
l_ctl_cmp_22_7	1	G1_12	449.41913	73.867563	NA	NA	NA
l_ctl_cmp_22_7	2	G1_12	646.583616	58.894739	NA	NA	NA
l_ctl_cmp_22_7	3	G1_12	580.928399	70.256818	NA	NA	NA
l_ctl_cmp_22_3	1	G1_13	635.813425	60.791408	NA	NA	NA
l_ctl_cmp_22_3	2	G1_13	770.747005	105.380706	NA	NA	NA
l_ctl_cmp_22_3	3	G1_13	822.651845	75.427367	NA	NA	NA
l_ctl_cmp_28_4	1	G1_17	763.391275	72.394299	NA	NA	NA
l_ctl_cmp_28_4	2	G1_17	692.496486	75.219985	NA	NA	NA
l_ctl_cmp_28_4	3	G1_17	759.606837	126.368536	NA	NA	NA
l_ctl_cmp_28_1	1	G1_18	621.143309	72.009305	NA	NA	NA
l_ctl_cmp_28_1	2	G1_18	619.799216	121.053819	NA	NA	NA
l_ctl_cmp_28_1	3	G1_18	689.957639	89.315646	NA	NA	NA
l_ctl_cmp_28_5	1	G1_19	919.436267	120.03012	NA	NA	NA
l_ctl_cmp_28_5	2	G1_19	1163.030497	99.960958	NA	NA	NA
l_ctl_cmp_28_5	3	G1_19	964.591818	99.939977	NA	NA	NA
l_ctl_cmp_28_6	1	G1_20	805.516583	81.600894	NA	NA	NA
l_ctl_cmp_28_6	2	G1_20	857.917745	83.389781	NA	NA	NA
l_ctl_cmp_28_6	3	G1_20	710.964237	74.934341	NA	NA	NA
l_ctl_cmp_28_2	1	G1_21	723.41084	83.165824	NA	NA	NA
l_ctl_cmp_28_2	2	G1_21	661.186046	99.107988	NA	NA	NA
l_ctl_cmp_28_2	3	G1_21	655.122788	122.016167	NA	NA	NA
l_ctl_cmp_28_3	1	G1_22	545.525382	37.63863	NA	NA	NA
l_ctl_cmp_28_3	2	G1_22	621.243348	52.390859	NA	NA	NA
l_ctl_cmp_28_3	3	G1_22	628.694675	64.394004	NA	NA	NA
l_ctl_cmp_28_7	1	G1_23	686.069165	87.007281	NA	NA	NA
l_ctl_cmp_28_7	2	G1_23	656.951542	72.239486	NA	NA	NA
l_ctl_cmp_28_7	3	G1_23	678.171559	75.673628	NA	NA	NA
l_ctl_cmp_35_4	1	G1_27	997.041752	61.941707	NA	NA	NA
l_ctl_cmp_35_4	2	G1_27	949.666112	112.931525	NA	NA	NA
l_ctl_cmp_35_4	3	G1_27	1023.802612	101.592618	NA	NA	NA
l_ctl_cmp_35_1	1	G1_28	872.143084	70.094592	NA	NA	NA
l_ctl_cmp_35_1	2	G1_28	849.762953	98.984217	NA	NA	NA
l_ctl_cmp_35_1	3	G1_28	1172.371527	81.570929	NA	NA	NA
l_ctl_cmp_35_5	1	G1_29	880.012192	58.000342	NA	NA	NA
l_ctl_cmp_35_5	2	G1_29	976.119774	109.864882	NA	NA	NA
l_ctl_cmp_35_5	3	G1_29	1018.276809	71.308339	NA	NA	NA
l_ctl_cmp_35_6	1	G1_30	1046.524304	83.634552	NA	NA	NA
l_ctl_cmp_35_6	2	G1_30	1010.994428	83.380733	NA	NA	NA
l_ctl_cmp_35_6	3	G1_30	1158.170041	102.649627	NA	NA	NA
l_ctl_cmp_35_2	1	G1_31	1025.776587	71.886345	NA	NA	NA
l_ctl_cmp_35_2	2	G1_31	946.77692	101.396582	NA	NA	NA
l_ctl_cmp_35_2	3	G1_31	867.545809	79.655897	NA	NA	NA
l_ctl_cmp_35_3	1	G1_32	961.438354	59.25623	NA	NA	NA
l_ctl_cmp_35_3	2	G1_32	934.165453	49.83942	NA	NA	NA
l_ctl_cmp_35_3	3	G1_32	794.051659	88.865397	NA	NA	NA
l_ctl_cmp_35_7	1	G1_33	782.136873	86.838844	NA	NA	NA
l_ctl_cmp_35_7	2	G1_33	733.992501	89.323624	NA	NA	NA
l_ctl_cmp_35_7	3	G1_33	832.010178	103.582899	NA	NA	NA
l_ctl_cmp_22_4	1	G1_7	791.874745	81.184141	NA	NA	NA
l_ctl_cmp_22_4	2	G1_7	888.704985	95.725956	NA	NA	NA
l_ctl_cmp_22_4	3	G1_7	924.957788	117.218915	NA	NA	NA
l_ctl_cmp_22_5	1	G1_8	568.921925	68.399531	NA	NA	NA
l_ctl_cmp_22_5	2	G1_8	685.474335	52.03607	NA	NA	NA
l_ctl_cmp_22_5	3	G1_8	687.500652	78.871666	NA	NA	NA
l_ctl_cmp_22_1	1	G1_9	340.23622	94.846534	NA	NA	NA
l_ctl_cmp_22_1	2	G1_9	776.535971	98.965665	NA	NA	NA
l_ctl_cmp_22_1	3	G1_9	726.143259	75.008036	NA	NA	NA
e_ctl_cmp_08_1	1	G22_1	361.598043	85.405519	NA	NA	NA
e_ctl_cmp_08_1	2	G22_1	440.494212	81.538841	NA	NA	NA
e_ctl_cmp_08_1	3	G22_1	472.965267	71.936298	NA	NA	NA
e_ctl_cmp_08_1	4	G22_1	471	85.2	NA	NA	NA
e_ctl_cmp_08_1	5	G22_1	465	90	NA	NA	NA
e_ctl_cmp_08_1	6	G22_1	522	72.9	NA	NA	NA
e_ctl_cmp_08_1	7	G22_1	431	83.1	NA	NA	NA
e_ctl_cmp_08_1	8	G22_1	464	72.7	NA	NA	NA
e_ctl_cmp_08_1	9	G22_1	398	63.4	NA	NA	NA
e_ctl_cmp_08_1	10	G22_1	374	77.9	NA	NA	NA
e_ctl_cmp_15_1	1	G22_1	527.119054	142.913524	NA	NA	NA
e_ctl_cmp_15_1	2	G22_1	557.805449	115.109537	NA	NA	NA
e_ctl_cmp_15_1	3	G22_1	536.771921	141.969849	NA	NA	NA
e_ctl_cmp_15_1	4	G22_1	677	87.6	NA	NA	NA
e_ctl_cmp_15_1	5	G22_1	547	78.6	NA	NA	NA
e_ctl_cmp_15_1	6	G22_1	605	78.8	NA	NA	NA
e_ctl_cmp_15_1	7	G22_1	647	97	NA	NA	NA
e_ctl_cmp_15_1	8	G22_1	763	94	NA	NA	NA
e_ctl_cmp_15_1	9	G22_1	594	88.7	NA	NA	NA
e_ctl_cmp_15_1	10	G22_1	624	68.6	NA	NA	NA
e_ctl_cmp_22_1	1	G22_1	610.093048	99.044424	NA	NA	NA
e_ctl_cmp_22_1	2	G22_1	514.273499	110.862785	NA	NA	NA
e_ctl_cmp_22_1	3	G22_1	387.320481	95.47902	NA	NA	NA
e_ctl_cmp_22_1	4	G22_1	735.385949	102.380571	NA	NA	NA
e_ctl_cmp_22_1	5	G22_1	508.104043	89.971699	NA	NA	NA
e_ctl_cmp_22_1	6	G22_1	570.730644	120.215771	NA	NA	NA
e_ctl_cmp_22_1	7	G22_1	720.959508	135.462968	NA	NA	NA
e_ctl_cmp_22_1	8	G22_1	620.297817	123.605043	NA	NA	NA
e_ctl_cmp_22_1	9	G22_1	575.317436	122.112251	NA	NA	NA
e_ctl_cmp_22_1	10	G22_1	619.236885	127.083917	NA	NA	NA
e_ctl_cmp_28_1	1	G22_1	588.783296	102.042468	NA	NA	NA
e_ctl_cmp_28_1	2	G22_1	817.831267	75.284452	NA	NA	NA
