sample_id	trial	wing key	group	bird	age	diet	total_mass
l_ctl_cmp_35_2	l	l_35_1_08	1	8	0	ctl	38
l_ctl_cmp_35_2	l	l_35_1_08	1	8	8	ctl	171
l_ctl_cmp_35_2	l	l_35_1_08	1	8	15	ctl	502
l_ctl_cmp_35_2	l	l_35_1_08	1	8	22	ctl	953
l_ctl_cmp_35_2	l	l_35_1_08	1	8	28	ctl	1461
l_ctl_cmp_35_2	l	l_35_1_08	1	8	35	ctl	1933
l_ctl_cmp_35_3	l	l_35_1_10	1	10	0	ctl	41
l_ctl_cmp_35_3	l	l_35_1_10	1	10	8	ctl	194
l_ctl_cmp_35_3	l	l_35_1_10	1	10	15	ctl	525
l_ctl_cmp_35_3	l	l_35_1_10	1	10	22	ctl	1029
l_ctl_cmp_35_3	l	l_35_1_10	1	10	28	ctl	1630
l_ctl_cmp_35_3	l	l_35_1_10	1	10	35	ctl	2208
l_ctl_cmp_35_7	l	l_35_1_12	1	12	0	ctl	43
l_ctl_cmp_35_7	l	l_35_1_12	1	12	8	ctl	185
l_ctl_cmp_35_7	l	l_35_1_12	1	12	15	ctl	481
l_ctl_cmp_35_7	l	l_35_1_12	1	12	22	ctl	795
l_ctl_cmp_35_7	l	l_35_1_12	1	12	28	ctl	1262
l_ctl_cmp_35_7	l	l_35_1_12	1	12	35	ctl	1793
l_ctl_cmp_35_6	l	l_35_1_13	1	13	0	ctl	41
l_ctl_cmp_35_6	l	l_35_1_13	1	13	8	ctl	194
l_ctl_cmp_35_6	l	l_35_1_13	1	13	15	ctl	533
l_ctl_cmp_35_6	l	l_35_1_13	1	13	22	ctl	974
l_ctl_cmp_35_6	l	l_35_1_13	1	13	28	ctl	1495
l_ctl_cmp_35_6	l	l_35_1_13	1	13	35	ctl	2122
l_ctl_cmp_35_1	l	l_35_1_14	1	14	0	ctl	43
l_ctl_cmp_35_1	l	l_35_1_14	1	14	8	ctl	169
l_ctl_cmp_35_1	l	l_35_1_14	1	14	15	ctl	449
l_ctl_cmp_35_1	l	l_35_1_14	1	14	22	ctl	894
l_ctl_cmp_35_1	l	l_35_1_14	1	14	28	ctl	1461
l_ctl_cmp_35_1	l	l_35_1_14	1	14	35	ctl	2089
l_ctl_cmp_35_4	l	l_35_1_15	1	15	0	ctl	34
l_ctl_cmp_35_4	l	l_35_1_15	1	15	8	ctl	177
l_ctl_cmp_35_4	l	l_35_1_15	1	15	15	ctl	514
l_ctl_cmp_35_4	l	l_35_1_15	1	15	22	ctl	962
l_ctl_cmp_35_4	l	l_35_1_15	1	15	28	ctl	1525
l_ctl_cmp_35_4	l	l_35_1_15	1	15	35	ctl	2116
l_ctl_cmp_35_5	l	l_35_1_16	1	16	0	ctl	41
l_ctl_cmp_35_5	l	l_35_1_16	1	16	8	ctl	172
l_ctl_cmp_35_5	l	l_35_1_16	1	16	15	ctl	476
l_ctl_cmp_35_5	l	l_35_1_16	1	16	22	ctl	1005
l_ctl_cmp_35_5	l	l_35_1_16	1	16	28	ctl	1598
l_ctl_cmp_35_5	l	l_35_1_16	1	16	35	ctl	2121
l_gos_cmp_35_4	l	l_35_4_04	4	4	0	gos	43
l_gos_cmp_35_4	l	l_35_4_04	4	4	8	gos	214
l_gos_cmp_35_4	l	l_35_4_04	4	4	15	gos	619
l_gos_cmp_35_4	l	l_35_4_04	4	4	22	gos	1136
l_gos_cmp_35_4	l	l_35_4_04	4	4	28	gos	1773
l_gos_cmp_35_4	l	l_35_4_04	4	4	35	gos	2375
l_gos_cmp_35_5	l	l_35_4_08	4	8	0	gos	40
l_gos_cmp_35_5	l	l_35_4_08	4	8	8	gos	182
l_gos_cmp_35_5	l	l_35_4_08	4	8	15	gos	596
l_gos_cmp_35_5	l	l_35_4_08	4	8	22	gos	1064
l_gos_cmp_35_5	l	l_35_4_08	4	8	28	gos	1593
l_gos_cmp_35_5	l	l_35_4_08	4	8	35	gos	2427
l_gos_cmp_35_1	l	l_35_4_09	4	9	0	gos	42
l_gos_cmp_35_1	l	l_35_4_09	4	9	8	gos	182
l_gos_cmp_35_1	l	l_35_4_09	4	9	15	gos	575
